id,Gender,Customer Type,Type of Travel,Class,Flight Distance,Age,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
19556,Female,Loyal Customer,Business travel,Eco,160,52,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44,satisfied
90035,Female,Loyal Customer,Business travel,Business,2863,36,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0,satisfied
12360,Male,disloyal Customer,Business travel,Eco,192,20,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0,neutral or dissatisfied
77959,Male,Loyal Customer,Business travel,Business,3377,44,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6,satisfied
36875,Female,Loyal Customer,Business travel,Eco,1182,49,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20,satisfied
39177,Male,Loyal Customer,Business travel,Eco,311,16,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0,satisfied
79433,Female,Loyal Customer,Business travel,Business,3987,77,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0,satisfied
97286,Female,Loyal Customer,Business travel,Business,2556,43,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65,satisfied
27508,Male,Loyal Customer,Business travel,Eco,556,47,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0,satisfied
62482,Female,Loyal Customer,Business travel,Business,1744,46,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14,satisfied
47583,Female,Loyal Customer,Business travel,Eco,1235,47,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19,satisfied
115550,Female,Loyal Customer,Business travel,Business,325,33,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7,neutral or dissatisfied
119987,Female,Loyal Customer,Business travel,Business,1009,46,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0,satisfied
42141,Female,Loyal Customer,Business travel,Business,451,60,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113,satisfied
2274,Female,Loyal Customer,Business travel,Business,925,52,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0,satisfied
22470,Male,Loyal Customer,Personal Travel,Eco,83,50,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2,neutral or dissatisfied
124915,Female,Loyal Customer,Business travel,Eco,728,31,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0,neutral or dissatisfied
17836,Male,Loyal Customer,Personal Travel,Eco Plus,1075,52,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0,satisfied
76872,Female,Loyal Customer,Personal Travel,Eco,1927,43,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0,neutral or dissatisfied
64287,Female,Loyal Customer,Business travel,Business,3799,50,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0,satisfied
63995,Male,Loyal Customer,Business travel,Business,612,60,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49,satisfied
75855,Male,Loyal Customer,Personal Travel,Eco,1437,43,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0,neutral or dissatisfied
106181,Male,Loyal Customer,Personal Travel,Eco,302,55,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0,neutral or dissatisfied
44304,Male,Loyal Customer,Business travel,Business,1428,25,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0,satisfied
82602,Female,disloyal Customer,Business travel,Eco,528,30,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0,neutral or dissatisfied
7823,Male,Loyal Customer,Personal Travel,Eco,710,62,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0,neutral or dissatisfied
127781,Male,Loyal Customer,Business travel,Business,3680,24,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0,satisfied
34501,Female,Loyal Customer,Business travel,Eco,1521,22,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13,satisfied
121658,Male,Loyal Customer,Business travel,Business,1543,44,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0,satisfied
20219,Male,Loyal Customer,Business travel,Eco,235,51,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0,neutral or dissatisfied
67551,Male,Loyal Customer,Personal Travel,Business,1235,43,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0,neutral or dissatisfied
48994,Female,Loyal Customer,Business travel,Eco,308,56,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0,satisfied
70811,Male,disloyal Customer,Business travel,Eco,624,41,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0,neutral or dissatisfied
75241,Male,Loyal Customer,Personal Travel,Eco,1846,22,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68,neutral or dissatisfied
12312,Female,Loyal Customer,Business travel,Eco,192,53,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1,satisfied
48372,Male,Loyal Customer,Personal Travel,Eco,674,12,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70,neutral or dissatisfied
51477,Female,Loyal Customer,Business travel,Business,370,39,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12,satisfied
84204,Female,Loyal Customer,Business travel,Business,3169,55,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68,satisfied
70990,Female,disloyal Customer,Business travel,Business,802,32,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10,neutral or dissatisfied
101991,Female,Loyal Customer,Personal Travel,Eco,628,40,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0,neutral or dissatisfied
87447,Female,disloyal Customer,Business travel,Business,373,42,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0,neutral or dissatisfied
16112,Male,disloyal Customer,Business travel,Eco,725,24,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4,satisfied
16172,Male,Loyal Customer,Business travel,Business,277,22,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177,neutral or dissatisfied
106558,Female,Loyal Customer,Business travel,Business,1024,28,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3,satisfied
11536,Female,Loyal Customer,Business travel,Eco Plus,267,36,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55,neutral or dissatisfied
47773,Female,Loyal Customer,Business travel,Eco,550,62,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90,satisfied
70521,Female,Loyal Customer,Business travel,Business,1889,60,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0,satisfied
96283,Female,Loyal Customer,Personal Travel,Eco,460,59,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2,neutral or dissatisfied
117993,Female,Loyal Customer,Business travel,Business,3295,49,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4,satisfied
74703,Female,Loyal Customer,Personal Travel,Eco,1205,44,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0,neutral or dissatisfied
110840,Female,Loyal Customer,Personal Travel,Eco Plus,990,58,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0,neutral or dissatisfied
88249,Male,disloyal Customer,Business travel,Business,444,24,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32,satisfied
125877,Female,Loyal Customer,Business travel,Eco,520,53,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0,satisfied
83968,Male,Loyal Customer,Business travel,Eco,321,56,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0,neutral or dissatisfied
122719,Female,Loyal Customer,Business travel,Business,651,30,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0,satisfied
3949,Male,disloyal Customer,Business travel,Business,764,27,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46,neutral or dissatisfied
45542,Male,Loyal Customer,Business travel,Business,566,27,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0,satisfied
43742,Female,Loyal Customer,Personal Travel,Eco,626,67,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0,neutral or dissatisfied
122093,Female,Loyal Customer,Personal Travel,Eco,130,32,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4,neutral or dissatisfied
121454,Male,disloyal Customer,Business travel,Eco,331,36,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0,neutral or dissatisfied
738,Male,Loyal Customer,Business travel,Business,158,44,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57,satisfied
75235,Female,Loyal Customer,Personal Travel,Eco,1829,70,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0,neutral or dissatisfied
